id,consumption,datetime
77476,1.03,2022-01-01 00:22:28
76780,0.904,2022-01-01 00:42:33
76954,0.904,2022-01-01 01:01:51
76548,1.85,2022-01-01 01:41:48
77070,1.878,2022-01-01 02:22:52
76751,1.092,2022-01-01 02:47:00
76925,0.924,2022-01-01 03:06:30
77447,0.944,2022-01-01 03:27:40
76809,0.92,2022-01-01 03:47:47
76316,0.928,2022-01-01 04:07:36
77302,0.944,2022-01-01 04:28:02
77969,0.896,2022-01-01 04:48:02
77650,0.93,2022-01-01 05:07:43
77882,1.098,2022-01-01 05:31:53
77186,0.9,2022-01-01 05:51:27
77766,0.928,2022-01-01 06:11:59
76606,0.964,2022-01-01 06:32:56
76345,0.916,2022-01-01 06:52:25
76722,1.02,2022-01-01 07:14:24
77418,0.92,2022-01-01 07:34:40
77679,1.962,2022-01-01 08:17:20
77331,0.946,2022-01-01 08:38:00
77998,0.92,2022-01-01 08:57:36
77853,1.88,2022-01-01 09:38:30
77157,0.918,2022-01-01 09:58:43
76374,0.972,2022-01-01 10:20:09
76577,0.896,2022-01-01 10:39:50
77041,0.942,2022-01-01 10:59:47
76461,0.9,2022-01-01 11:19:47
76983,1.09,2022-01-01 11:43:40
76896,0.976,2022-01-01 12:05:06
76287,0.926,2022-01-01 12:24:52
76664,0.904,2022-01-01 12:45:05
77621,0.956,2022-01-01 13:06:25
77824,0.964,2022-01-01 13:27:37
77360,1.052,2022-01-01 13:50:19
77215,0.9,2022-01-01 14:10:15
77128,0.972,2022-01-01 14:31:39
76490,0.928,2022-01-01 14:52:01
76635,0.906,2022-01-01 15:12:09
76403,0.878,2022-01-01 15:32:01
77534,0.978,2022-01-01 15:53:43
76867,0.876,2022-01-01 16:12:37
77708,0.936,2022-01-01 16:33:12
76229,1.01,2022-01-01 16:55:52
78027,1.05,2022-01-01 17:18:43
77563,0.922,2022-01-01 17:39:34
77911,1.98,2022-01-01 18:22:53
77244,0.87,2022-01-01 18:42:25
76432,1.902,2022-01-01 19:23:47
77795,0.932,2022-01-01 19:44:16
77099,0.892,2022-01-01 20:03:52
77505,0.94,2022-01-01 20:24:31
76838,0.884,2022-01-01 20:44:08
77737,0.976,2022-01-01 21:05:13
77592,0.92,2022-01-01 21:25:49
76258,0.908,2022-01-01 21:45:29
76693,0.904,2022-01-01 22:05:56
77389,1.052,2022-01-01 22:28:26
77273,0.964,2022-01-01 22:49:58
77940,0.93,2022-01-01 23:09:54
77012,0.964,2022-01-01 23:31:01
76512,0.994,2022-01-01 23:53:01
84149,0.906,2022-01-02 00:12:25
84236,0.994,2022-01-02 00:34:37
83946,0.928,2022-01-02 00:55:12
84410,0.968,2022-01-02 01:16:03
83569,0.98,2022-01-02 01:37:09
82873,0.872,2022-01-02 01:56:52
82989,0.94,2022-01-02 02:16:48
84004,0.908,2022-01-02 02:37:03
83714,0.948,2022-01-02 02:57:34
83279,1.124,2022-01-02 03:21:57
83308,0.89,2022-01-02 03:41:38
83482,0.93,2022-01-02 04:02:06
84120,1.82,2022-01-02 04:41:47
84207,1.93,2022-01-02 05:23:40
82844,0.962,2022-01-02 05:45:06
84381,0.954,2022-01-02 06:05:51
83134,1.002,2022-01-02 06:27:10
83656,0.936,2022-01-02 06:47:46
83047,0.92,2022-01-02 07:07:36
83250,1.03,2022-01-02 07:29:02
83975,9.862,2022-01-02 07:50:40
83511,17.884,2022-01-02 08:31:26
83598,27.108,2022-01-02 09:34:40
83627,6.612,2022-01-02 09:55:18
83018,5.948,2022-01-02 10:17:01
84439,5.2,2022-01-02 10:38:42
83221,4.534,2022-01-02 10:57:55
83337,5.314,2022-01-02 11:19:09
83783,4.652,2022-01-02 11:39:47
84091,7.676,2022-01-02 12:23:27
82902,2.914,2022-01-02 12:42:40
82960,6.33,2022-01-02 13:23:26
83076,2.824,2022-01-02 13:43:32
83917,1.856,2022-01-02 14:03:26
83163,5.754,2022-01-02 14:42:57
84062,2.366,2022-01-02 15:04:12
83812,3.086,2022-01-02 15:25:08
82931,3.688,2022-01-02 15:44:50
83424,3.238,2022-01-02 16:04:39
84033,3.56,2022-01-02 16:26:40
83685,3.336,2022-01-02 16:45:24
83105,9.778,2022-01-02 17:26:47
83192,4.9,2022-01-02 17:47:02
83540,4.718,2022-01-02 18:07:31
84178,5.004,2022-01-02 18:29:37
83754,4.934,2022-01-02 18:48:48
83888,6.18,2022-01-02 19:11:49
83841,7.482,2022-01-02 19:37:20
83870,11.704,2022-01-02 20:20:59
84352,5.234,2022-01-02 20:40:58
84323,6.434,2022-01-02 21:02:58
84265,5.738,2022-01-02 21:23:06
84294,8.618,2022-01-02 21:49:08
83453,16.92,2022-01-02 22:42:19
83395,14.95,2022-01-02 23:31:40
83366,1.172,2022-01-02 23:56:26
79470,1.186,2022-01-03 00:22:43
79441,1.4,2022-01-03 00:53:00
79383,1.414,2022-01-03 01:24:29
79412,1.332,2022-01-03 01:53:54
78565,1.564,2022-01-03 02:28:01
78623,1.382,2022-01-03 02:58:02
78594,1.536,2022-01-03 03:32:05
78652,1.324,2022-01-03 04:00:43
78681,1.372,2022-01-03 04:31:08
78768,1.368,2022-01-03 05:01:23
78797,1.688,2022-01-03 05:38:15
78826,1.776,2022-01-03 06:17:11
78913,1.714,2022-01-03 06:54:36
78884,4.638,2022-01-03 07:31:34
78855,8.18,2022-01-03 08:09:33
78426,9.94,2022-01-03 08:47:11
78397,11.068,2022-01-03 09:24:50
78368,9.792,2022-01-03 10:02:19
78455,8.698,2022-01-03 10:43:39
78484,7.328,2022-01-03 11:22:39
79116,6.68,2022-01-03 12:04:20
79145,5.896,2022-01-03 12:44:33
79174,5.578,2022-01-03 13:24:15
79203,5.604,2022-01-03 14:04:49
78136,3.844,2022-01-03 14:40:55
79058,3.01,2022-01-03 15:04:16
78971,2.586,2022-01-03 15:25:28
79232,2.556,2022-01-03 15:48:01
78252,6.144,2022-01-03 16:31:23
78339,3.54,2022-01-03 16:52:02
78194,3.588,2022-01-03 17:12:30
79319,4.744,2022-01-03 17:33:09
78542,5.028,2022-01-03 17:54:34
79029,4.216,2022-01-03 18:14:35
78710,5.23,2022-01-03 18:34:37
78513,5.614,2022-01-03 18:56:56
78107,5.3,2022-01-03 19:17:08
79261,5.606,2022-01-03 19:39:28
78281,5.622,2022-01-03 19:59:23
79348,12.604,2022-01-03 20:40:51
78223,12.324,2022-01-03 21:22:20
78942,6.268,2022-01-03 21:42:57
78739,6.522,2022-01-03 22:05:06
79000,6.594,2022-01-03 22:24:48
79087,6.088,2022-01-03 22:45:51
79290,6.068,2022-01-03 23:06:22
78165,5.712,2022-01-03 23:26:09
78310,5.3,2022-01-03 23:47:04
83894,0.924,2022-01-04 00:07:38
84851,0.924,2022-01-04 00:27:12
84503,0.9,2022-01-04 00:47:32
84126,0.964,2022-01-04 01:08:23
83633,0.908,2022-01-04 01:27:48
85257,1.008,2022-01-04 01:50:02
85344,0.924,2022-01-04 02:10:37
84358,0.924,2022-01-04 02:30:35
84706,0.922,2022-01-04 02:50:50
84648,0.904,2022-01-04 03:10:46
83691,0.934,2022-01-04 03:31:05
85025,1.854,2022-01-04 04:11:50
85141,0.95,2022-01-04 04:32:24
83836,0.99,2022-01-04 04:53:54
84097,0.89,2022-01-04 05:13:33
84474,0.88,2022-01-04 05:32:35
83604,0.898,2022-01-04 05:52:52
85286,1.914,2022-01-04 06:34:42
84416,0.994,2022-01-04 06:56:02
84387,0.994,2022-01-04 06:56:02
84010,7.206,2022-01-04 07:38:09
83778,5.89,2022-01-04 07:58:56
84619,4.454,2022-01-04 08:19:19
85083,8.33,2022-01-04 08:40:02
83865,6.606,2022-01-04 08:59:38
84822,8.328,2022-01-04 09:21:12
83575,12.024,2022-01-04 10:01:54
85228,5.66,2022-01-04 10:23:57
84242,4.37,2022-01-04 10:45:44
85315,4.762,2022-01-04 11:06:16
83807,4.488,2022-01-04 11:27:17
85112,4.712,2022-01-04 11:48:59
84996,4.364,2022-01-04 12:10:04
83923,3.894,2022-01-04 12:30:48
84155,3.516,2022-01-04 12:51:30
84590,3.608,2022-01-04 13:13:25
85170,3.496,2022-01-04 13:35:18
83546,3.066,2022-01-04 13:55:35
84213,1.788,2022-01-04 14:16:58
84039,1.236,2022-01-04 14:38:12
84764,4.944,2022-01-04 15:01:05
85054,5.822,2022-01-04 15:22:02
83952,2.226,2022-01-04 15:43:55
84967,2.094,2022-01-04 16:03:26
84793,2.11,2022-01-04 16:23:27
84184,2.152,2022-01-04 16:43:12
84561,2.224,2022-01-04 17:04:18
84445,2.194,2022-01-04 17:24:42
85180,2.11,2022-01-04 17:44:46
84271,2.328,2022-01-04 18:06:35
84068,2.208,2022-01-04 18:27:23
83749,4.664,2022-01-04 19:09:23
84938,2.216,2022-01-04 19:28:52
84735,2.612,2022-01-04 19:50:52
84880,2.428,2022-01-04 20:11:28
83662,2.454,2022-01-04 20:33:17
84677,2.31,2022-01-04 20:53:19
84329,2.52,2022-01-04 21:13:42
84532,3.946,2022-01-04 21:34:19
84300,15.97,2022-01-04 22:16:51
84909,8.014,2022-01-04 22:38:17
83720,7.056,2022-01-04 22:57:49
83981,7.384,2022-01-04 23:18:47
85373,7.636,2022-01-04 23:40:23
84327,3.562,2022-01-05 00:00:54
85284,0.936,2022-01-05 00:21:19
85226,0.976,2022-01-05 00:42:09
84182,0.882,2022-01-05 01:01:28
85052,0.922,2022-01-05 01:21:47
84965,0.976,2022-01-05 01:42:58
83660,0.914,2022-01-05 02:03:21
84675,0.966,2022-01-05 02:24:36
83863,0.994,2022-01-05 02:45:48
84240,0.912,2022-01-05 03:05:48
84588,0.926,2022-01-05 03:26:25
83979,0.926,2022-01-05 03:46:37
84820,0.91,2022-01-05 04:06:05
84356,0.912,2022-01-05 04:26:09
84153,0.93,2022-01-05 04:46:57
85255,1.014,2022-01-05 05:08:44
85081,0.884,2022-01-05 05:28:17
83515,0.88,2022-01-05 05:47:54
84936,1.0,2022-01-05 06:09:22
85023,0.88,2022-01-05 06:28:38
83834,0.952,2022-01-05 06:49:26
84617,0.942,2022-01-05 07:09:59
84530,3.946,2022-01-05 07:31:26
84211,7.228,2022-01-05 07:51:00
83950,7.898,2022-01-05 08:13:02
85197,19.178,2022-01-05 08:57:01
85110,9.588,2022-01-05 09:17:56
83631,8.282,2022-01-05 09:37:27
83486,9.348,2022-01-05 09:58:09
84907,8.054,2022-01-05 10:19:10
83776,8.144,2022-01-05 10:40:23
84646,7.402,2022-01-05 11:00:55
84559,6.134,2022-01-05 11:20:57
83573,7.128,2022-01-05 11:42:31
84008,7.156,2022-01-05 12:04:00
84385,6.158,2022-01-05 12:24:14
84066,6.73,2022-01-05 12:46:35
85313,6.844,2022-01-05 13:08:49
83689,5.836,2022-01-05 13:30:08
83544,6.236,2022-01-05 13:51:21
84849,5.858,2022-01-05 14:11:00
84501,11.89,2022-01-05 14:54:08
84269,5.586,2022-01-05 15:15:37
84037,5.23,2022-01-05 15:35:28
85139,5.64,2022-01-05 15:57:50
84791,5.936,2022-01-05 16:17:45
85342,6.07,2022-01-05 16:39:12
84095,5.214,2022-01-05 16:58:38
83718,5.988,2022-01-05 17:20:05
84878,7.338,2022-01-05 17:40:28
83805,14.78,2022-01-05 18:22:23
84704,5.542,2022-01-05 18:41:48
84443,4.656,2022-01-05 19:03:06
83602,9.162,2022-01-05 19:23:26
85168,9.75,2022-01-05 19:54:41
84414,8.484,2022-01-05 20:15:41
85371,9.272,2022-01-05 20:35:50
84124,8.552,2022-01-05 20:55:40
83747,18.236,2022-01-05 21:36:53
84994,8.554,2022-01-05 21:57:56
83892,9.046,2022-01-05 22:17:28
83921,9.046,2022-01-05 22:17:28
84298,8.992,2022-01-05 22:37:50
84472,9.316,2022-01-05 22:58:49
84733,9.12,2022-01-05 23:19:13
84762,8.886,2022-01-05 23:41:06
86539,2.102,2022-01-06 00:00:47
86948,0.918,2022-01-06 00:21:03
85466,1.022,2022-01-06 00:43:08
85959,0.888,2022-01-06 01:02:38
85292,0.904,2022-01-06 01:22:49
86774,0.994,2022-01-06 01:44:11
85872,0.938,2022-01-06 02:04:22
86423,0.884,2022-01-06 02:24:29
85524,0.926,2022-01-06 02:44:03
86597,0.894,2022-01-06 03:04:02
86220,0.912,2022-01-06 03:23:51
86510,2.924,2022-01-06 04:27:17
86977,0.96,2022-01-06 04:48:19
86713,0.904,2022-01-06 05:08:32
85930,0.974,2022-01-06 05:29:22
85495,0.896,2022-01-06 05:49:33
85263,0.966,2022-01-06 06:10:37
86307,1.872,2022-01-06 06:51:34
86365,0.944,2022-01-06 07:11:41
86191,4.242,2022-01-06 07:33:31
85727,9.11,2022-01-06 07:54:03
87064,20.82,2022-01-06 08:40:21
86919,9.29,2022-01-06 09:01:22
85988,10.182,2022-01-06 09:24:15
86684,9.274,2022-01-06 09:45:33
85321,9.134,2022-01-06 10:07:49
85901,8.26,2022-01-06 10:28:54
86249,7.872,2022-01-06 10:50:06
86394,7.516,2022-01-06 11:11:14
